source,galaxy,log_gobs_a0,log_gbar_a0,upsilon_dyn,gc_over_a0,upsilon_d,v_flat_kms,rs_tanh_kpc,host,sigma_kms,rh_pc,g_obs_a0,g_bar_a0,g_obs_SI,g_bar_SI,M_bar_Msun,log_Mbar,log_sigma,log_rh,Mdyn_Msun,log_Mdyn,gc_obs_a0,log_gc,gc_exact_a0,log_gc_exact,gc_tautological_a0,log_gc_tauto,physical_resid_dex,gc_D_pred,D_resid,gc_Bern_pred,Bern_resid
dSph,NGC 147,-0.477948,-0.752416,1.8813430786303076,0.307545,,,,M31,16.0,623.35,0.33269938647893843,0.17684142262938923,3.992392637747261e-11,2.1220970715526707e-11,59156167.733525,7.772000031685713,1.2041199826559248,2.7947319638135193,92744224.49031557,7.967286874081326,0.6259216880167005,-0.20348000000000002,0.3075448734101477,-0.5120915080102237,0.06954688255025064,-1.1577223325528476,0.9542423325528476,0.3257155430190905,0.283681516576788,0.29383749911625684,0.3284127809758295
dSph,Andromeda II,-1.11121,-2.18369,11.816258954083468,0.837806,,,,M31,10.6,1175.89,0.07740874028477691,0.006551036210832699,9.28904883417323e-12,7.861243452999239e-13,7798220.269704576,6.891995498172585,1.0253058652647702,3.0703666970569548,76788002.88656838,7.885293372542453,0.914681720514317,-0.03873000000000011,0.8378186865483851,-0.07684995744538192,0.10163089060969159,-0.9929742686043377,0.9542442686043375,8.792502154812313,-0.982842483423212,7.9319728502883375,-0.9381112190241705
dSph,NGC 185,0.00841507,-0.404055,2.585056680695813,1.64855,,,,M31,24.0,457.669,1.019565355823151,0.3944073503056487,1.2234784269877812e-10,4.732888203667785e-11,71121367.32080244,7.852000097430258,1.380211241711606,2.6605514966857915,153210639.40977147,8.185288925064961,2.63563423447664,0.42088514,1.648546692105328,0.21710125225958982,0.29284825324122943,-0.533357362074668,0.954242502074668,0.1460419030105866,1.2564076565767879,0.13174866372371596,1.3011389209758295
dSph,Andromeda VII,-0.859809,-1.74245,7.632046363925476,0.917386,,,,M31,11.5,775.799,0.1380991482494398,0.01809464220529312,1.6571897789932777e-11,2.1713570646351746e-12,9375631.618540116,6.972000534981795,1.0606978403536116,2.8897492154615603,59629317.851513416,7.775459841124741,1.0539791022583422,0.022831999999999873,0.9173863549351294,-0.037447723785951785,0.11710854763379586,-0.9314114050581828,0.9542434050581826,3.1832627219979295,-0.48004048342321226,2.8717142221458474,-0.43530921902417063
dSph,LGS 3 (Local Group Suspect 3),-0.969065,-2.30669,21.758301981753352,2.22952,,,,M31,7.89098,469.755,0.10738286824888973,0.004935259577651861,1.2885944189866768e-11,5.922311493182234e-13,937572.6430000418,5.972004926780397,0.897130942646998,2.6718714113608613,16999973.391239718,7.230448241610815,2.3364688750261773,0.3685600000000003,2.2294972328928058,0.3482069376678503,0.259607127794484,-0.5856833876832394,0.9542433876832397,11.671118629874663,-0.698552483423212,10.528856800335511,-0.6538212190241703
dSph,Andromeda VI,-0.689276,-1.92138,17.064909915120968,3.28653,,,,M31,11.5,523.861,0.20451445067291965,0.011984502214787689,2.454173408075036e-11,1.4381402657745226e-12,2831419.6342680994,6.4520042393197015,1.0606978403536116,2.7192160676305135,40264906.34689098,7.604926693293694,3.4900206770738254,0.5428280000000002,3.2865047528516333,0.5167342646814239,0.38777953953142796,-0.4114151093960887,0.9542431093960889,4.806207130482842,-0.13897448342321195,4.3358197473954325,-0.09424321902417032
dSph,Phoenix,-0.811452,-2.35688,35.10977125611995,5.26566,,,,Isolated,9.3,453.902,0.15436470240706834,0.004396630820548601,1.8523764288848202e-11,5.275956984658321e-13,779823.4609242579,5.891996296762043,0.9684829485539351,2.656962096351684,22816180.21124727,7.358242938415512,5.419709391531199,0.733976,5.26571105973056,0.7214570248028318,0.6021896209665564,-0.22026673403713662,0.9542427340371366,13.10094077737753,-0.38332648342321196,11.81874109664204,-0.33859521902417034
dSph,Cetus,-0.477381,-2.2166,54.85535121479051,17.9415,,,,Isolated,17.0,702.786,0.33313403106902223,0.006072954118270236,3.997608372828267e-11,7.287544941924283e-13,2582250.1240748954,6.41199830696385,1.2304489213782739,2.8468231014525878,118041817.88494197,8.072035889165093,18.27418427589015,1.261838,17.941556315766015,1.2538601126229814,2.03046331356158,0.30759514705841134,0.9542428529415887,9.484675641910869,0.28481551657678783,8.556402757803367,0.32954678097582935
dSph,Leo T,-0.420829,-1.96194,34.76249985014106,12.8127,,,,MW,7.5,120.087,0.37946436664079536,0.01091591134920222,4.553572399689544e-11,1.3099093619042664e-12,135520.21905679195,5.13200409498692,0.8750612633917001,2.079495995464123,3925847.878137217,6.59393346720348,13.191129988484526,1.120282,12.81257524237409,1.1076364288194918,1.4656785332274709,0.16603872708904582,0.9542432729109542,5.276700969563081,0.3979195165767879,4.760265973521157,0.44265078097582955
dSph,Tucana,-0.147185,-2.10904,91.59146382148134,64.5513,,,,Isolated,15.8,283.82,0.712549434912865,0.007779648945251903,8.55059321895438e-11,9.335578734302284e-13,539508.256604255,5.731998095488306,1.1986570869544226,2.453042995714816,41178650.94489577,7.614672114579618,65.26344578883864,1.8146699999999998,64.55154465409807,1.8099066389606882,7.251502830689191,0.8604280208385503,0.9542419791614495,7.403933057307758,0.9452075165767879,6.679304134577273,0.9899387809758295
