galaxy,R_kpc,Vobs_kms,log_gobs_a0,log_gbar_a0
F565-V2,6.29,73.5,-0.6346109138339223,-1.5407647555989763
F565-V2,7.54,78.5,-0.6561669789363123,-1.5312386729913567
F565-V2,8.8,83.1,-0.6738155711389899,-1.554251541796338
F567-2,1.92,26.9,-0.992331615255777,-1.4853147891069125
F567-2,3.83,46.8,-0.8112420143774179,-1.5681315122731445
F567-2,5.75,47.6,-0.9729888858056874,-1.599192462839881
F567-2,7.67,48.1,-1.0890401577583606,-1.524927826090587
F567-2,9.59,52.2,-1.1150125477231825,-1.4962157830981573
F568-1,0.44,15.7,-0.8201883182247632,-1.3617863234498102
F568-1,1.32,44.5,-0.3923888558010299,-1.1130118725279026
F568-1,2.2,69.4,-0.22823868646953968,-1.1305933592366404
F568-1,3.08,90.0,-0.14860064417883773,-1.1575111755287657
F568-1,3.96,105.0,-0.12385153434267944,-1.2351256639292625
F568-1,4.84,113.0,-0.1472234212346163,-1.2660998967276387
F568-1,5.53,117.0,-0.17488835436941824,-1.2625318237871195
F568-1,7.48,124.0,-0.2555931740970345,-1.1734906778723497
F568-1,8.37,127.0,-0.2836529626383895,-1.1462168044196352
F568-1,9.24,130.0,-0.3063202131634764,-1.1339576790891923
F568-1,10.13,133.0,-0.3264411099831521,-1.1303752417431716
F568-1,13.23,142.0,-0.3855181019784313,-1.1465595305085476
F568-3,0.64,12.4,-1.1878715502164603,-1.4046973773856022
F568-3,1.18,21.9,-0.959528724182932,-1.285373770500037
F568-3,1.8,32.3,-0.8054024069981437,-1.23636679842479
F568-3,2.03,37.9,-0.7187525645341114,-1.2274754386060698
F568-3,2.78,53.1,-0.5623907003121814,-1.1900118253759042
F568-3,3.0,62.4,-0.45528702191185777,-1.1837231632447327
F568-3,3.64,68.0,-0.4646185047936266,-1.1717219374881152
F568-3,4.19,78.0,-0.4065597641423778,-1.1655165103264615
F568-3,4.6,82.3,-0.4004931078140776,-1.1801664879701628
F568-3,5.14,85.7,-0.4135364217059226,-1.2028523615992797
F568-3,5.39,85.5,-0.4361914822874366,-1.204366437669579
F568-3,6.31,89.5,-0.4649182351693536,-1.1971931538229745
F568-3,9.1,95.2,-0.5703024421091881,-1.2203554805206158
F568-3,10.17,97.5,-0.5978466680827142,-1.2243436673088575
F568-3,11.99,101.0,-0.6387113820906067,-1.2549529489932285
F568-3,14.02,107.0,-0.6565154048172638,-1.3032936636470476
F568-3,15.94,117.0,-0.6346515401248135,-1.3379446036005778
F568-3,17.98,120.0,-0.6649621418590036,-1.38875086808441
F568-V1,0.39,17.4,-0.678501057018343,-1.2915481938260225
F568-V1,1.18,46.3,-0.30925497182726236,-1.0248956772772686
F568-V1,1.95,69.1,-0.17961346317116447,-1.0819357020569225
F568-V1,2.74,85.2,-0.14540631984403096,-1.1690366226582574
F568-V1,3.53,93.2,-0.17747782723690306,-1.1800646117527591
F568-V1,4.3,100.0,-0.2020034021366298,-1.1857123172380737
F568-V1,5.09,108.0,-0.20840521791990263,-1.2234376313126942
F568-V1,5.87,112.0,-0.23873700246429452,-1.273680451714985
F568-V1,6.4,113.0,-0.26855803357409097,-1.2940055865030082
F568-V1,7.44,113.0,-0.33395099513608256,-1.3136412522504537
F568-V1,8.21,112.0,-0.3844420583361209,-1.3205297182873406
F568-V1,9.0,111.0,-0.43213149842305326,-1.3410609463498455
F568-V1,9.72,111.0,-0.465555253910003,-1.34251931688144
F568-V1,11.79,113.0,-0.5338918646852929,-1.3384134783163781
F568-V1,17.63,118.0,-0.6710232442441144,-1.5484078189552268
F571-8,0.22,12.4,-0.7241142570547793,-0.04531573931547639
F571-8,0.78,37.5,-0.3125670137920859,0.10504321229301908
F571-8,1.33,56.5,-0.188289691885252,0.04186983418504861
F571-8,2.33,69.1,-0.2569347728346655,-0.11780248822274565
F571-8,3.44,85.5,-0.24116115967222812,-0.34098757926771267
F571-8,3.78,87.1,-0.26599043637894215,-0.41122778859448306
F571-8,4.77,105.0,-0.20467472745728096,-0.6130139109062266
F571-8,5.44,112.0,-0.2056978009148599,-0.7226397536272574
F571-8,6.11,116.0,-0.22566017834576058,-0.8225979987495472
F571-8,7.22,124.0,-0.24022877380221216,-0.9477664839575624
F571-8,9.33,135.0,-0.2777490533135309,-1.1457302483767442
F571-8,11.1,140.0,-0.3216018539872247,-1.2709166118946849
F571-8,15.55,144.0,-0.44354035572940026,-1.5392475342865637
